release_year,FilmID,Title,Mood,Theme,NarrativeStyle,EmotionalTone,Description
2021,43,The Boss Baby: Family Business,uplifting,family,drama,"Animation, Comedy, Adventure, Family","The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business. Genre: Animation, Comedy, Adventure, Family"
2022,44,Turning Red,neutral,neutral,neutral,"Animation, Family, Comedy, Fantasy","Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda. Genre: Animation, Family, Comedy, Fantasy"
2022,45,Brazen,dark,crime,neutral,"Thriller, Mystery, Drama","Mystery writer Grace Miller has killer instincts when it comes to motive - and she'll need every bit of expertise to help solve her sister's murder. Genre: Thriller, Mystery, Drama"
2022,46,The House,uplifting,family,drama,"Animation, Drama, Comedy, Horror","Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy. Genre: Animation, Drama, Comedy, Horror"
2022,47,Blacklight,neutral,fantasy,neutral,"Action, Thriller","Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power. Genre: Action, Thriller"
2021,48,Ron's Gone Wrong,neutral,neutral,neutral,"Animation, Science Fiction, Family, Comedy","In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do. Genre: Animation, Science Fiction, Family, Comedy"
2021,49,Free Guy,neutral,neutral,neutral,"Comedy, Action, Adventure, Science Fiction","A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline. Genre: Comedy, Action, Adventure, Science Fiction"
2021,50,Cruella,neutral,neutral,drama,"Comedy, Crime","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella. Genre: Comedy, Crime"
2021,51,The Suicide Squad,heroic,neutral,neutral,"Action, Adventure, Fantasy","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese. Genre: Action, Adventure, Fantasy"
2021,52,The Simpsons in Plusaversary,neutral,neutral,neutral,"Animation, Comedy, Fantasy","The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year. Genre: Animation, Comedy, Fantasy"
2022,53,Forgive Us Our Trespasses,dark,neutral,drama,"Drama, War","Targeted by Nazis as they hunt down and murder people with disabilities, a boy with a limb difference makes a daring decision while running for his life. Genre: Drama, War"
2021,54,Luca,neutral,neutral,neutral,"Animation, Comedy, Family, Fantasy","Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface. Genre: Animation, Comedy, Family, Fantasy"
2021,55,Mortal Kombat,neutral,neutral,neutral,"Action, Fantasy, Adventure","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe. Genre: Action, Fantasy, Adventure"
2021,56,Zack Snyder's Justice League,neutral,neutral,neutral,"Action, Adventure, Fantasy, Science Fiction","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions. Genre: Action, Adventure, Fantasy, Science Fiction"
2021,57,Mother/Android,neutral,family,neutral,"Science Fiction, Thriller","Georgia and her boyfriend Sam go on a treacherous journey to escape their country, which is caught in an unexpected war with artificial intelligence. Days away from the arrival of their first child, the couple must face No Man’s Land—a stronghold of the android uprising—in hopes of reaching safety before giving birth. Genre: Science Fiction, Thriller"
1986,58,Exploits of a Young Don Juan,neutral,neutral,neutral,"Comedy, Drama","Roger is a 16-year-old who seeks to lose his virginity in this erotic drama. His initial efforts are unsuccessful, but World War I breaks out and men are seen marching off to battle. Roger goes overboard when he is presented with several amorous opportunities. Genre: Comedy, Drama"
2021,59,Dune,uplifting,family,drama,"Science Fiction, Adventure","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive. Genre: Science Fiction, Adventure"
2021,60,The Last Warrior: Root of Evil,"uplifting, tense","fantasy, family","action, drama","Fantasy, Adventure, Comedy","Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie. Genre: Fantasy, Adventure, Comedy"
2022,61,The Privilege,neutral,neutral,neutral,Horror,A wealthy teen and his friends attending an elite private school uncover a dark conspiracy while looking into a series of strange supernatural events. Genre: Horror
2021,62,Queen of Spades,neutral,neutral,neutral,Horror,"According to legend, an ominous entity known as the Queen of Spades can be summoned by performing an ancient ritual. Four teenagers summon the Queen of Spades, but they could never imagine the horrors that await them. Genre: Horror"
2021,63,Antlers,neutral,neutral,mystery,"Drama, Horror, Mystery","A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences. Genre: Drama, Horror, Mystery"
2021,64,Dangerous,neutral,neutral,neutral,"Action, Thriller","A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance. Genre: Action, Thriller"
2021,65,After We Fell,uplifting,family,drama,"Romance, Drama","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family. Genre: Romance, Drama"
2021,66,No Time to Die,neutral,neutral,drama,"Adventure, Action, Thriller","Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology. Genre: Adventure, Action, Thriller"
2021,67,Sooryavanshi,neutral,neutral,neutral,"Action, Crime, Thriller","A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city. Genre: Action, Crime, Thriller"
2021,68,Finch,neutral,neutral,drama,"Science Fiction, Drama, Adventure","On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human. Genre: Science Fiction, Drama, Adventure"
2021,69,Two,neutral,neutral,neutral,"Thriller, Horror","Two people, a man and a woman, wake up naked and with their abdomens attached to each other. Genre: Thriller, Horror"
2021,70,PAW Patrol: The Movie,neutral,neutral,neutral,"Animation, Family, Adventure, Comedy","Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos. Genre: Animation, Family, Adventure, Comedy"
2018,71,Avengers: Infinity War,"tense, heroic",fantasy,action,"Adventure, Action, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain. Genre: Adventure, Action, Science Fiction"
1989,72,Batman,neutral,neutral,neutral,"Fantasy, Action","Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld. Genre: Fantasy, Action"
2021,73,Black Widow,neutral,neutral,neutral,"Action, Adventure, Science Fiction","Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger. Genre: Action, Adventure, Science Fiction"
2022,74,The Wonderful Winter of Mickey Mouse,neutral,neutral,neutral,"Animation, Comedy","The wonder of the winter season takes Mickey Mouse and his friends on a journey through three magical stories. Genre: Animation, Comedy"
2021,75,F9,neutral,neutral,neutral,"Action, Crime, Thriller, Adventure","Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother. Genre: Action, Crime, Thriller, Adventure"
2022,76,Moonfall,neutral,neutral,drama,"Action, Adventure, Science Fiction","A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it. Genre: Action, Adventure, Science Fiction"
2022,77,"Sex, Shame and Tears 2",neutral,neutral,neutral,"Comedy, Drama","Twenty years have passed since those two apartments in the heart of Mexico City were the battlefield of a war of the sexes between Ana, Carlos, Andrea, Miguel, Tomás and María. All that is left of those apartments are memories and the image of Tomás' dead body at the bottom of the elevator shaft. Their lives have changed, their families have grown and new and unexpected characters have come to unsettle their daily lives and trigger a chain of events that will make them realize that modesty has been replaced by public disclosure; sex is only an app away; but love...love is still something elusive that everyone in today's banal and chaotic world is seeking. Genre: Comedy, Drama"
2021,78,Diary of a Wimpy Kid,neutral,neutral,neutral,"Animation, Comedy, Family","Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first. Genre: Animation, Comedy, Family"
2022,79,AI Love You,neutral,neutral,neutral,"Comedy, Romance, Science Fiction","A modern love story set in the near future where an AI building is powered by human feelings. Due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections. Genre: Comedy, Romance, Science Fiction"
2022,80,Sonic the Hedgehog 2,heroic,fantasy,neutral,"Action, Science Fiction, Comedy, Family","After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands. Genre: Action, Science Fiction, Comedy, Family"
2022,81,Erax,neutral,neutral,neutral,"Mystery, Family","Monstrous creatures leap from a magical storybook and unleash mayhem and mischief for Auntie Opal and her tween niece Nina in this spooky short film. Genre: Mystery, Family"
2020,82,Deathstroke: Knights & Dragons - The Movie,uplifting,family,drama,"Animation, Action, Adventure, Science Fiction","The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal. Genre: Animation, Action, Adventure, Science Fiction"
2021,83,The Last Duel,neutral,neutral,neutral,"Action, Drama, History","King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel. Genre: Action, Drama, History"
2022,84,The Pirates: The Last Royal Treasure,neutral,neutral,neutral,"Action, Adventure, Comedy, History","A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea. Genre: Action, Adventure, Comedy, History"
2021,85,Paranormal Activity: Next of Kin,uplifting,family,drama,"Horror, Mystery, Thriller","Margot, a documentary filmmaker, heads to a secluded Amish community in the hopes of learning about her long-lost mother and extended family. Following a string of strange occurrences and discoveries, she comes to realize this community may not be what it seems. Genre: Horror, Mystery, Thriller"
2021,86,House of Gucci,"dark, uplifting",family,drama,"Drama, Crime, Thriller","When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel the family legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately…murder. Genre: Drama, Crime, Thriller"
2021,87,Dark Spell,neutral,fantasy,neutral,"Romance, Horror, Thriller","Terror strikes when a heartbroken woman uses black magic to get her husband back. Genre: Romance, Horror, Thriller"
2021,88,Jungle Cruise,neutral,fantasy,neutral,"Action, Adventure, Comedy, Fantasy","Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine. Genre: Action, Adventure, Comedy, Fantasy"
2021,89,Godzilla vs. Kong,heroic,neutral,action,"Action, Fantasy, Science Fiction","In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages. Genre: Action, Fantasy, Science Fiction"
2012,90,The Amazing Spider-Man,heroic,neutral,drama,"Action, Adventure, Fantasy","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero. Genre: Action, Adventure, Fantasy"
2022,91,Heart Shot,neutral,neutral,neutral,"Romance, Crime","Teenagers Nikki and Sam are in love and planning their future together — until Nikki's dangerous past returns to threaten everything. Genre: Romance, Crime"
2009,92,Avatar,neutral,neutral,neutral,"Action, Adventure, Fantasy, Science Fiction","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. Genre: Action, Adventure, Fantasy, Science Fiction"
2021,93,Mobile Suit Gundam Hathaway,neutral,neutral,neutral,"Animation, Action, Drama, Science Fiction","After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate. Genre: Animation, Action, Drama, Science Fiction"
2021,94,Army of Thieves,neutral,neutral,neutral,"Crime, Comedy","A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse. Genre: Crime, Comedy"
2022,95,UFO,uplifting,family,drama,"Drama, Romance","When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love. Genre: Drama, Romance"
2022,96,The Weekend Away,neutral,neutral,neutral,"Thriller, Mystery","When her best friend vanishes during a girls' trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception. Genre: Thriller, Mystery"
2020,97,The Croods: A New Age,uplifting,family,drama,"Animation, Family, Adventure, Fantasy, Comedy","Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together. Genre: Animation, Family, Adventure, Fantasy, Comedy"
